German, English
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,not
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,at
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,weather
ihr,her
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,to
oder,or
all,Alles
aus,out of
was,What
nur,just
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,about
da,there
geben,give
vor,in front
mein,my
mehr,more
Jahr,Year
du,you
durch,through
viel,much
wollen,want
machen,do
andere,other
sollen,must
schon,beautiful
kommen,come
mir,to me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,quite
zwei,two
also,so
jetzt,now
doch,indeed
wieder,once again
uns,us
gut,Good
bis,until
wissen,to know
sehen,see
einer,a
sehr,very
Mal,Times
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,under
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,woman
etwas,something
